,,,,,,
NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - MARCH 2017,,,,,
Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
142,SURAT DISTRICT COOPERATIVE BANK Ltd,6950,671.09,19256,1133.70
143,SURAT NATIONAL CO-OP BANK LTD,3276,507.51,5866,380.01
144,SURAT PEOPLES COOPERATIVE BANK,15117,938.81,37140,1955.79
145,SURYODAY SMALL FINANCE BANK LTD,21,0.02,12,0.00
146,SUTEX COOP BANK,8315,476.20,13995,772.00
147,SYNDICATE BANK,1437329,190189.00,3238418,214724.00
148,TAMIL NADU STATE APEX COOP BANK,110574,3988.23,58408,2709.85
149,TAMILNADU MERCANTILE BANK,414044,34346.57,547215,35337.87
150,TELANGANA STATE COOP APEX BANK LTD,3941,278.40,5079,591.05
151,THANE BHARAT SAHAKARI BANK LTD,5874,1736.52,18024,1189.85
152,THANE DISTRICT CENTRAL COOP BANK LT,21073,2379.36,42402,1282.84
153,THANE JANATA SAHAKARI BANK LTD,71920,6191.16,141973,10449.74
154,THE A. P. MAHESH URBAN CO-OP BANK L,15759,2820.06,29178,1961.79
155,THE AP STATE COOP BANK LTD,57360,3473.23,79840,4995.90
156,THE BARAMATI SAHAKARI BANK LTD,22,0.91,11,1.84
157,THE GUJARAT STATE CO-OP BANK LTD,66834,5454.48,127968,10393.42
158,THE HASTI CO-OP. BANK LTD.,4410,278.92,2778,330.45
159,THE KANGRA CENTRAL COOP BANK LTD,36093,3130.59,52474,9449.43
160,THE KANGRA CO OPERATIVE BANK LTD,3744,505.95,9950,307.23
161,THE NASIK MERCHANTS CO-OP BANK LTD.,17404,6384.63,18823,1329.28
162,THE NAVNIRMAN COOPERATIVE BANK LTD,1745,122.74,1175,123.20
163,THE PANDHARPUR URBAN CO-OP BANK,3892,210.18,1442,304.46
164,THE RAJASTHAN ST. COOP. BANK LTD,37186,5000.20,234107,3085.23
165,THE ROYAL BANK OF SCOTLAND PLC,2838,298.96,2426,256.65
166,THE SAHEBRAO DESHMUKH COOP BANK LTD,4168,348.14,9310,457.54
167,THE VARACHHA CO-OP. BANK LTD,18412,1436.67,30570,1303.90
168,THE VISHWESHWAR SAHAKARI BANK LTD,11592,850.56,17804,1062.60
169,THE ZOROASTRIAN CO-OP BANK LTD,3667,339.38,5718,527.65
170,TUMKUR GRAIN MERCHANTS COOP BANK,5723,334.86,4740,377.03
171,The Gadchiroli Dist Co-Op Bank,6552,255.72,21611,471.22
172,UCO BANK,723223,73365.57,3104865,138249.00
173,UJJIVAN SMALL FINANCE BANK LTD.,219,343.50,248,5735.00
174,UNION BANK OF INDIA,2553549,263241.00,5565391,415522.00
175,UNITED BANK OF INDIA,1134002,55348.49,2982562,99785.91
176,UNITED OVERSEAS BANK LTD,136,2889.95,72,151.97
177,UTKARSH SMALL FINANCE BANK LTD,0,0.00,0,0.00
178,VASAI VIKAS SAHAKARI BANK LTD,3946,314.04,11721,634.60
179,VIJAYA BANK,611976,88841.91,1656842,119552.00
180,WEST BENGAL STATE COOPERATIVE BANK,48324,1340.63,179295,6967.69
181,WESTPAC BANKING CORPORATION,478,4657.36,44,86.76
182,WOORI BANK,1498,744.14,427,1251.35
183,YES BANK,7048918,344529.00,1569467,387317.00
184,ZILA SAHKARI BANK LTD GHAZIABAD,2223,515.29,5973,255.93
,TOTAL,186703464,16294500.00,186703464,16294500.00
,t,Total (No. of transactions in mn and Amount in bn),186.70,16294.50,186.70,16294.50
