,,,,,,
,NATIONAL ELECTRONIC FUND TRANSFER (NEFT) - JUNE 2016,,,,,
,Sr. No.,BANK,TOTAL OUTWARD DEBITS,,RECEIVED INWARD CREDITS,
,,,NO. OF TRANSACTIONS,AMOUNT (Rs. Million),NO. OF TRANSACTIONS,AMOUNT (Rs. Million)
,164,UNITED BANK OF INDIA,858744,32809.70,1924280,61738.25
,165,UNITED OVERSEAS BANK LTD,163,532.99,68,523.88
,166,VASAI VIKAS SAHAKARI BANK LTD,2143,148.09,5860,330.84
,167,VIJAYA BANK,375145,41268.55,925798,58117.33
,168,WEST BENGAL STATE COOPERATIVE BANK,17425,518.34,103696,2883.62
,169,WESTPAC BANKING CORPORATION,308,34.58,22,131.69
,170,WOORI BANK,974,193.14,207,787.80
,171,YES BANK,4355515,162965.54,1035898,161152.57
,172,ZILA SAHKARI BANK LTD GHAZIABAD,907,138.44,3266,102.14
,,Total,118290743,8815307.01,118290743,8815307.01
,,Total (No. of transactions in mn and Amount in bn),118.29,8815.31,118.29,8815.31
